
permutación 01234, P_n = 0
permutación 041325, P_n = 4
permutación 041352, P_n = 6
permutación 041523, P_n = 5
permutación 041532, P_n = 6
permutación 042135, P_n = 5
permutación 042153, P_n = 6
permutación 042315, P_n = 5
permutación 042351, P_n = 5
permutación 042513, P_n = 6
permutación 042531, P_n = 6
permutación 043125, P_n = 4
permutación 043152, P_n = 6
permutación 043215, P_n = 3
permutación 043251, P_n = 5
permutación 043512, P_n = 5
permutación 043521, P_n = 5
permutación 045123, P_n = 3
permutación 045132, P_n = 4
permutación 045213, P_n = 5
permutación 045231, P_n = 5
permutación 045312, P_n = 5
permutación 045321, P_n = 4
permutación 051234, P_n = 3
permutación 051243, P_n = 4
permutación 051324, P_n = 6
permutación 051342, P_n = 5
permutación 051423, P_n = 5
permutación 051432, P_n = 4
permutación 052134, P_n = 5
permutación 052143, P_n = 6
permutación 052314, P_n = 5
permutación 052341, P_n = 5
permutación 052413, P_n = 6
permutación 052431, P_n = 6
permutación 053124, P_n = 5
permutación 053142, P_n = 6
permutación 053214, P_n = 5
permutación 053241, P_n = 6
permutación 053412, P_n = 5
permutación 053421, P_n = 5
permutación 054123, P_n = 4
permutación 054132, P_n = 5
permutación 054213, P_n = 5
permutación 054231, P_n = 5
permutación 054312, P_n = 4
permutación 054321, P_n = 3
permutación 102345, P_n = 1
permutación 102354, P_n = 4
permutación 102435, P_n = 4
permutación 102453, P_n = 5
permutación 102534, P_n = 5
permutación 102543, P_n = 4
permutación 103245, P_n = 3
permutación 103254, P_n = 5
permutación 103425, P_n = 3
permutación 103452, P_n = 3
permutación 103524, P_n = 5
permutación 103542, P_n = 4
permutación 104235, P_n = 3
permutación 104253, P_n = 5
permutación 104325, P_n = 4
permutación 104352, P_n = 5
permutación 104523, P_n = 3
permutación 104532, P_n = 4
permutación 105234, P_n = 3
permutación 105243, P_n = 4
permutación 105324, P_n = 5
permutación 105342, P_n = 5
permutación 105423, P_n = 4
permutación 105432, P_n = 4
permutación 120345, P_n = 2
permutación 120354, P_n = 5
permutación 120435, P_n = 4
permutación 120453, P_n = 4
permutación 120534, P_n = 4
permutación 120543, P_n = 5
permutación 123045, P_n = 2
permutación 123054, P_n = 4
permutación 123405, P_n = 2
permutación 123450, P_n = 2
permutación 123504, P_n = 4
permutación 123540, P_n = 3
permutación 124035, P_n = 4
permutación 124053, P_n = 5
permutación 124305, P_n = 3
permutación 124350, P_n = 5
permutación 124503, P_n = 4
permutación 124530, P_n = 4
permutación 125034, P_n = 4
permutación 125043, P_n = 5
permutación 125304, P_n = 5
permutación 125340, P_n = 4
permutación 125403, P_n = 5
permutación 125430, P_n = 3
permutación 130245, P_n = 4
permutación 130254, P_n = 6
permutación 130425, P_n = 5
permutación 130452, P_n = 5
permutación 130524, P_n = 6
permutación 130542, P_n = 6
permutación 132045, P_n = 3
permutación 132054, P_n = 5
permutación 132405, P_n = 5
permutación 132450, P_n = 5
permutación 132504, P_n = 5
permutación 132540, P_n = 5
permutación 134025, P_n = 4
permutación 134052, P_n = 5
permutación 134205, P_n = 4
permutación 134250, P_n = 5
permutación 134502, P_n = 4
permutación 134520, P_n = 4
permutación 135024, P_n = 6
permutación 135042, P_n = 6
permutación 135204, P_n = 6
permutación 135240, P_n = 6
permutación 135402, P_n = 5
permutación 135420, P_n = 5
permutación 140235, P_n = 4
permutación 140253, P_n = 6
permutación 140325, P_n = 5
permutación 140352, P_n = 6
permutación 140523, P_n = 5
permutación 140532, P_n = 5
permutación 142035, P_n = 5
permutación 142053, P_n = 6
permutación 142305, P_n = 4
permutación 142350, P_n = 5
permutación 142503, P_n = 6
permutación 142530, P_n = 6
permutación 143025, P_n = 4
permutación 143052, P_n = 5
permutación 143205, P_n = 3
permutación 143250, P_n = 5
permutación 143502, P_n = 6
permutación 143520, P_n = 5
permutación 145023, P_n = 4
permutación 145032, P_n = 5
permutación 145203, P_n = 5
permutación 145230, P_n = 5
permutación 145302, P_n = 5
permutación 145320, P_n = 4
permutación 150234, P_n = 4
permutación 150243, P_n = 5
permutación 150324, P_n = 6
permutación 150342, P_n = 5
permutación 150423, P_n = 5
permutación 150432, P_n = 5
permutación 152034, P_n = 5
permutación 152043, P_n = 6
permutación 152304, P_n = 5
permutación 152340, P_n = 4
permutación 152403, P_n = 6
permutación 152430, P_n = 5
permutación 153024, P_n = 6
permutación 153042, P_n = 6
permutación 153204, P_n = 5
permutación 153240, P_n = 5
permutación 153402, P_n = 6
permutación 153420, P_n = 6
permutación 154023, P_n = 4
permutación 154032, P_n = 5
permutación 154203, P_n = 5
permutación 154230, P_n = 4
permutación 154302, P_n = 4
permutación 154320, P_n = 3
permutación 201345, P_n = 2
permutación 201354, P_n = 5
permutación 201435, P_n = 4
permutación 201453, P_n = 4
permutación 201534, P_n = 4
permutación 201543, P_n = 5
permutación 203145, P_n = 4
permutación 203154, P_n = 6
permutación 203415, P_n = 4
permutación 203451, P_n = 4
permutación 203514, P_n = 6
permutación 203541, P_n = 5
permutación 204135, P_n = 5
permutación 204153, P_n = 6
permutación 204315, P_n = 5
permutación 204351, P_n = 6
permutación 204513, P_n = 5
permutación 204531, P_n = 5
permutación 205134, P_n = 5
permutación 205143, P_n = 6
permutación 205314, P_n = 6
permutación 205341, P_n = 5
permutación 205413, P_n = 5
permutación 205431, P_n = 5
permutación 210345, P_n = 1
permutación 210354, P_n = 4
permutación 210435, P_n = 3
permutación 210453, P_n = 3
permutación 210534, P_n = 3
permutación 210543, P_n = 4
permutación 213045, P_n = 3
permutación 213054, P_n = 5
permutación 213405, P_n = 3
permutación 213450, P_n = 3
permutación 213504, P_n = 5
permutación 213540, P_n = 4
permutación 214035, P_n = 4
permutación 214053, P_n = 5
permutación 214305, P_n = 4
permutación 214350, P_n = 5
permutación 214503, P_n = 5
permutación 214530, P_n = 5
permutación 215034, P_n = 4
permutación 215043, P_n = 5
permutación 215304, P_n = 5
permutación 215340, P_n = 5
permutación 215403, P_n = 4
permutación 215430, P_n = 4
permutación 230145, P_n = 3
permutación 230154, P_n = 5
permutación 230415, P_n = 4
permutación 230451, P_n = 4
permutación 230514, P_n = 6
permutación 230541, P_n = 5
permutación 231045, P_n = 2
permutación 231054, P_n = 4
permutación 231405, P_n = 4
permutación 231450, P_n = 4
permutación 231504, P_n = 5
permutación 231540, P_n = 5
permutación 234015, P_n = 3
permutación 234051, P_n = 4
permutación 234105, P_n = 2
permutación 234150, P_n = 4
permutación 234501, P_n = 3
permutación 234510, P_n = 2
permutación 235014, P_n = 5
permutación 235041, P_n = 5
permutación 235104, P_n = 4
permutación 235140, P_n = 5
permutación 235401, P_n = 4
permutación 235410, P_n = 3
permutación 240135, P_n = 4
permutación 240153, P_n = 6
permutación 240315, P_n = 5
permutación 240351, P_n = 6
permutación 240513, P_n = 6
permutación 240531, P_n = 6
permutación 241035, P_n = 4
permutación 241053, P_n = 5
permutación 241305, P_n = 5
permutación 241350, P_n = 6
permutación 241503, P_n = 6
permutación 241530, P_n = 6
permutación 243015, P_n = 4
permutación 243051, P_n = 5
permutación 243105, P_n = 3
permutación 243150, P_n = 5
permutación 243501, P_n = 6
permutación 243510, P_n = 5
permutación 245013, P_n = 5
permutación 245031, P_n = 6
permutación 245103, P_n = 4
permutación 245130, P_n = 5
permutación 245301, P_n = 5
permutación 245310, P_n = 4
permutación 250134, P_n = 4
permutación 250143, P_n = 5
permutación 250314, P_n = 6
permutación 250341, P_n = 6
permutación 250413, P_n = 6
permutación 250431, P_n = 5
permutación 251034, P_n = 4
permutación 251043, P_n = 5
permutación 251304, P_n = 6
permutación 251340, P_n = 5
permutación 251403, P_n = 6
permutación 251430, P_n = 5
permutación 253014, P_n = 6
permutación 253041, P_n = 6
permutación 253104, P_n = 5
permutación 253140, P_n = 6
permutación 253401, P_n = 5
permutación 253410, P_n = 4
permutación 254013, P_n = 4
permutación 254031, P_n = 5
permutación 254103, P_n = 5
permutación 254130, P_n = 5
permutación 254301, P_n = 4
permutación 254310, P_n = 3
permutación 301245, P_n = 2
permutación 301254, P_n = 4
permutación 301425, P_n = 4
permutación 301452, P_n = 4
permutación 301524, P_n = 5
permutación 301542, P_n = 5
permutación 302145, P_n = 3
permutación 302154, P_n = 5
permutación 302415, P_n = 5
permutación 302451, P_n = 5
permutación 302514, P_n = 6
permutación 302541, P_n = 6
permutación 304125, P_n = 4
permutación 304152, P_n = 6
permutación 304215, P_n = 4
permutación 304251, P_n = 6
permutación 304512, P_n = 4
permutación 304521, P_n = 4
permutación 305124, P_n = 5
permutación 305142, P_n = 6
permutación 305214, P_n = 5
permutación 305241, P_n = 6
permutación 305412, P_n = 5
permutación 305421, P_n = 5
permutación 310245, P_n = 3
permutación 310254, P_n = 5
permutación 310425, P_n = 4
permutación 310452, P_n = 4
permutación 310524, P_n = 5
permutación 310542, P_n = 5
permutación 312045, P_n = 4
permutación 312054, P_n = 6
permutación 312405, P_n = 4
permutación 312450, P_n = 4
permutación 312504, P_n = 6
permutación 312540, P_n = 5
permutación 314025, P_n = 5
permutación 314052, P_n = 6
permutación 314205, P_n = 5
permutación 314250, P_n = 6
permutación 314502, P_n = 5
permutación 314520, P_n = 5
permutación 315024, P_n = 6
permutación 315042, P_n = 6
permutación 315204, P_n = 6
permutación 315240, P_n = 6
permutación 315402, P_n = 5
permutación 315420, P_n = 5
permutación 320145, P_n = 2
permutación 320154, P_n = 4
permutación 320415, P_n = 4
permutación 320451, P_n = 4
permutación 320514, P_n = 5
permutación 320541, P_n = 5
permutación 321045, P_n = 1
permutación 321054, P_n = 3
permutación 321405, P_n = 3
permutación 321450, P_n = 3
permutación 321504, P_n = 4
permutación 321540, P_n = 4
permutación 324015, P_n = 4
permutación 324051, P_n = 5
permutación 324105, P_n = 3
permutación 324150, P_n = 5
permutación 324501, P_n = 4
permutación 324510, P_n = 3
permutación 325014, P_n = 4
permutación 325041, P_n = 6
permutación 325104, P_n = 5
permutación 325140, P_n = 5
permutación 325401, P_n = 4
permutación 325410, P_n = 4
permutación 340125, P_n = 3
permutación 340152, P_n = 5
permutación 340215, P_n = 4
permutación 340251, P_n = 6
permutación 340512, P_n = 5
permutación 340521, P_n = 4
permutación 341025, P_n = 4
permutación 341052, P_n = 4
permutación 341205, P_n = 4
permutación 341250, P_n = 5
permutación 341502, P_n = 5
permutación 341520, P_n = 5
permutación 342015, P_n = 3
permutación 342051, P_n = 5
permutación 342105, P_n = 2
permutación 342150, P_n = 4
permutación 342501, P_n = 5
permutación 342510, P_n = 4
permutación 345012, P_n = 3
permutación 345021, P_n = 4
permutación 345102, P_n = 4
permutación 345120, P_n = 4
permutación 345201, P_n = 3
permutación 345210, P_n = 2
permutación 350124, P_n = 4
permutación 350142, P_n = 5
permutación 350214, P_n = 5
permutación 350241, P_n = 6
permutación 350412, P_n = 6
permutación 350421, P_n = 5
permutación 351024, P_n = 5
permutación 351042, P_n = 6
permutación 351204, P_n = 6
permutación 351240, P_n = 6
permutación 351402, P_n = 7
permutación 351420, P_n = 6
permutación 352014, P_n = 5
permutación 352041, P_n = 6
permutación 352104, P_n = 4
permutación 352140, P_n = 5
permutación 352401, P_n = 5
permutación 352410, P_n = 5
permutación 354012, P_n = 4
permutación 354021, P_n = 5
permutación 354102, P_n = 5
permutación 354120, P_n = 5
permutación 354201, P_n = 4
permutación 354210, P_n = 3
permutación 401235, P_n = 2
permutación 401253, P_n = 4
permutación 401325, P_n = 3
permutación 401352, P_n = 5
permutación 401523, P_n = 4
permutación 401532, P_n = 5
permutación 402135, P_n = 5
permutación 402153, P_n = 5
permutación 402315, P_n = 4
permutación 402351, P_n = 5
permutación 402513, P_n = 6
permutación 402531, P_n = 6
permutación 403125, P_n = 4
permutación 403152, P_n = 6
permutación 403215, P_n = 3
permutación 403251, P_n = 5
permutación 403512, P_n = 5
permutación 403521, P_n = 5
permutación 405123, P_n = 4
permutación 405132, P_n = 5
permutación 405213, P_n = 6
permutación 405231, P_n = 6
permutación 405312, P_n = 5
permutación 405321, P_n = 4
permutación 410235, P_n = 3
permutación 410253, P_n = 5
permutación 410325, P_n = 4
permutación 410352, P_n = 5
permutación 410523, P_n = 5
permutación 410532, P_n = 4
permutación 412035, P_n = 4
permutación 412053, P_n = 6
permutación 412305, P_n = 4
permutación 412350, P_n = 4
permutación 412503, P_n = 6
permutación 412530, P_n = 5
permutación 413025, P_n = 5
permutación 413052, P_n = 6
permutación 413205, P_n = 4
permutación 413250, P_n = 5
permutación 413502, P_n = 6
permutación 413520, P_n = 6
permutación 415023, P_n = 5
permutación 415032, P_n = 5
permutación 415203, P_n = 6
permutación 415230, P_n = 6
permutación 415302, P_n = 6
permutación 415320, P_n = 5
permutación 420135, P_n = 4
permutación 420153, P_n = 5
permutación 420315, P_n = 5
permutación 420351, P_n = 6
permutación 420513, P_n = 6
permutación 420531, P_n = 6
permutación 421035, P_n = 3
permutación 421053, P_n = 4
permutación 421305, P_n = 4
permutación 421350, P_n = 5
permutación 421503, P_n = 5
permutación 421530, P_n = 5
permutación 423015, P_n = 4
permutación 423051, P_n = 6
permutación 423105, P_n = 4
permutación 423150, P_n = 6
permutación 423501, P_n = 5
permutación 423510, P_n = 4
permutación 425013, P_n = 5
permutación 425031, P_n = 7
permutación 425103, P_n = 5
permutación 425130, P_n = 6
permutación 425301, P_n = 5
permutación 425310, P_n = 5
permutación 430125, P_n = 2
permutación 430152, P_n = 4
permutación 430215, P_n = 3
permutación 430251, P_n = 5
permutación 430512, P_n = 4
permutación 430521, P_n = 5
permutación 431025, P_n = 3
permutación 431052, P_n = 5
permutación 431205, P_n = 4
permutación 431250, P_n = 4
permutación 431502, P_n = 5
permutación 431520, P_n = 5
permutación 432015, P_n = 2
permutación 432051, P_n = 4
permutación 432105, P_n = 1
permutación 432150, P_n = 3
permutación 432501, P_n = 4
permutación 432510, P_n = 3
permutación 435012, P_n = 4
permutación 435021, P_n = 5
permutación 435102, P_n = 5
permutación 435120, P_n = 5
permutación 435201, P_n = 4
permutación 435210, P_n = 3
permutación 450123, P_n = 3
permutación 450132, P_n = 4
permutación 450213, P_n = 6
permutación 450231, P_n = 5
permutación 450312, P_n = 5
permutación 450321, P_n = 4
permutación 451023, P_n = 4
permutación 451032, P_n = 4
permutación 451203, P_n = 5
permutación 451230, P_n = 5
permutación 451302, P_n = 5
permutación 451320, P_n = 4
permutación 452013, P_n = 5
permutación 452031, P_n = 5
permutación 452103, P_n = 4
permutación 452130, P_n = 4
permutación 452301, P_n = 5
permutación 452310, P_n = 4
permutación 453012, P_n = 3
permutación 453021, P_n = 4
permutación 453102, P_n = 4
permutación 453120, P_n = 5
permutación 453201, P_n = 3
permutación 453210, P_n = 2
permutación 501234, P_n = 2
permutación 501243, P_n = 3
permutación 501324, P_n = 5
permutación 501342, P_n = 4
permutación 501423, P_n = 4
permutación 501432, P_n = 3
permutación 502134, P_n = 5
permutación 502143, P_n = 5
permutación 502314, P_n = 5
permutación 502341, P_n = 4
permutación 502413, P_n = 6
permutación 502431, P_n = 5
permutación 503124, P_n = 5
permutación 503142, P_n = 6
permutación 503214, P_n = 5
permutación 503241, P_n = 5
permutación 503412, P_n = 5
permutación 503421, P_n = 4
permutación 504123, P_n = 4
permutación 504132, P_n = 5
permutación 504213, P_n = 5
permutación 504231, P_n = 6
permutación 504312, P_n = 4
permutación 504321, P_n = 3
permutación 510234, P_n = 3
permutación 510243, P_n = 4
permutación 510324, P_n = 5
permutación 510342, P_n = 5
permutación 510423, P_n = 5
permutación 510432, P_n = 4
permutación 512034, P_n = 4
permutación 512043, P_n = 5
permutación 512304, P_n = 4
permutación 512340, P_n = 4
permutación 512403, P_n = 5
permutación 512430, P_n = 5
permutación 513024, P_n = 6
permutación 513042, P_n = 6
permutación 513204, P_n = 5
permutación 513240, P_n = 6
permutación 513402, P_n = 6
permutación 513420, P_n = 5
permutación 514023, P_n = 5
permutación 514032, P_n = 5
permutación 514203, P_n = 6
permutación 514230, P_n = 5
permutación 514302, P_n = 5
permutación 514320, P_n = 4
permutación 520134, P_n = 4
permutación 520143, P_n = 5
permutación 520314, P_n = 6
permutación 520341, P_n = 5
permutación 520413, P_n = 6
permutación 520431, P_n = 5
permutación 521034, P_n = 3
permutación 521043, P_n = 4
permutación 521304, P_n = 5
permutación 521340, P_n = 5
permutación 521403, P_n = 5
permutación 521430, P_n = 4
permutación 523014, P_n = 5
permutación 523041, P_n = 6
permutación 523104, P_n = 4
permutación 523140, P_n = 5
permutación 523401, P_n = 5
permutación 523410, P_n = 4
permutación 524013, P_n = 5
permutación 524031, P_n = 6
permutación 524103, P_n = 5
permutación 524130, P_n = 6
permutación 524301, P_n = 4
permutación 524310, P_n = 4
permutación 530124, P_n = 4
permutación 530142, P_n = 5
permutación 530214, P_n = 5
permutación 530241, P_n = 6
permutación 530412, P_n = 5
permutación 530421, P_n = 5
permutación 531024, P_n = 5
permutación 531042, P_n = 5
permutación 531204, P_n = 6
permutación 531240, P_n = 5
permutación 531402, P_n = 6
permutación 531420, P_n = 6
permutación 532014, P_n = 4
permutación 532041, P_n = 5
permutación 532104, P_n = 3
permutación 532140, P_n = 4
permutación 532401, P_n = 4
permutación 532410, P_n = 4
permutación 534012, P_n = 4
permutación 534021, P_n = 5
permutación 534102, P_n = 5
permutación 534120, P_n = 6
permutación 534201, P_n = 5
permutación 534210, P_n = 4
permutación 540123, P_n = 2
permutación 540132, P_n = 3
permutación 540213, P_n = 5
permutación 540231, P_n = 4
permutación 540312, P_n = 4
permutación 540321, P_n = 3
permutación 541023, P_n = 3
permutación 541032, P_n = 4
permutación 541203, P_n = 4
permutación 541230, P_n = 4
permutación 541302, P_n = 5
permutación 541320, P_n = 4
permutación 542013, P_n = 4
permutación 542031, P_n = 5
permutación 542103, P_n = 3
permutación 542130, P_n = 4
permutación 542301, P_n = 4
permutación 542310, P_n = 4
permutación 543012, P_n = 2
permutación 543021, P_n = 3
permutación 543102, P_n = 3
permutación 543120, P_n = 4
permutación 543201, P_n = 2
permutación 543210, P_n = 1
P_6 = 7
_________________________________
permutación 0123456, P_n = 0
permutación 0123465, P_n = 3
permutación 0123546, P_n = 3
permutación 0123564, P_n = 4
permutación 0123645, P_n = 4
permutación 0123654, P_n = 3
permutación 0124356, P_n = 3
permutación 0124365, P_n = 5
permutación 0124536, P_n = 4
permutación 0124563, P_n = 4
permutación 0124635, P_n = 6
permutación 0124653, P_n = 5
permutación 0125346, P_n = 4
permutación 0125364, P_n = 6
permutación 0125436, P_n = 3
permutación 0125463, P_n = 5
permutación 0125634, P_n = 4
permutación 0125643, P_n = 4
permutación 0126345, P_n = 4
permutación 0126354, P_n = 5
permutación 0126435, P_n = 5
permutación 0126453, P_n = 6
permutación 0126534, P_n = 4
permutación 0126543, P_n = 3
permutación 0132456, P_n = 3
permutación 0132465, P_n = 6
permutación 0132546, P_n = 5
permutación 0132564, P_n = 5
permutación 0132645, P_n = 5
permutación 0132654, P_n = 5
permutación 0134256, P_n = 4
permutación 0134265, P_n = 5
permutación 0134526, P_n = 4
permutación 0134562, P_n = 4
permutación 0134625, P_n = 6
permutación 0134652, P_n = 5
permutación 0135246, P_n = 6
permutación 0135264, P_n = 7
permutación 0135426, P_n = 5
permutación 0135462, P_n = 7
permutación 0135624, P_n = 6
permutación 0135642, P_n = 6
permutación 0136245, P_n = 6
permutación 0136254, P_n = 6
permutación 0136425, P_n = 7
permutación 0136452, P_n = 6
permutación 0136524, P_n = 6
permutación 0136542, P_n = 5
permutación 0142356, P_n = 4
permutación 0142365, P_n = 5
permutación 0142536, P_n = 6
permutación 0142563, P_n = 6
permutación 0142635, P_n = 7
permutación 0142653, P_n = 6
permutación 0143256, P_n = 3
permutación 0143265, P_n = 5
permutación 0143526, P_n = 5
permutación 0143562, P_n = 5
permutación 0143625, P_n = 6
permutación 0143652, P_n = 6
permutación 0145236, P_n = 4
permutación 0145263, P_n = 6
permutación 0145326, P_n = 4
permutación 0145362, P_n = 6
permutación 0145623, P_n = 4
permutación 0145632, P_n = 4
permutación 0146235, P_n = 6
permutación 0146253, P_n = 7
permutación 0146325, P_n = 6
permutación 0146352, P_n = 7
permutación 0146523, P_n = 5
permutación 0146532, P_n = 5
permutación 0152346, P_n = 4
permutación 0152364, P_n = 6
permutación 0152436, P_n = 5
permutación 0152463, P_n = 7
permutación 0152634, P_n = 6
permutación 0152643, P_n = 6
permutación 0153246, P_n = 5
permutación 0153264, P_n = 6
permutación 0153426, P_n = 6
permutación 0153462, P_n = 6
permutación 0153624, P_n = 7
permutación 0153642, P_n = 7
permutación 0154236, P_n = 4
permutación 0154263, P_n = 6
permutación 0154326, P_n = 3
permutación 0154362, P_n = 5
permutación 0154623, P_n = 6
permutación 0154632, P_n = 5
permutación 0156234, P_n = 4
permutación 0156243, P_n = 5
permutación 0156324, P_n = 6
permutación 0156342, P_n = 6
permutación 0156423, P_n = 5
permutación 0156432, P_n = 4
permutación 0162345, P_n = 4
permutación 0162354, P_n = 5
permutación 0162435, P_n = 7
permutación 0162453, P_n = 6
permutación 0162534, P_n = 6
permutación 0162543, P_n = 5
permutación 0163245, P_n = 5
permutación 0163254, P_n = 6
permutación 0163425, P_n = 6
permutación 0163452, P_n = 6
permutación 0163524, P_n = 7
permutación 0163542, P_n = 6
permutación 0164235, P_n = 6
permutación 0164253, P_n = 7
permutación 0164325, P_n = 5
permutación 0164352, P_n = 6
permutación 0164523, P_n = 6
permutación 0164532, P_n = 6
permutación 0165234, P_n = 4
permutación 0165243, P_n = 5
permutación 0165324, P_n = 5
permutación 0165342, P_n = 6
permutación 0165423, P_n = 4
permutación 0165432, P_n = 3
permutación 0213456, P_n = 3
permutación 0213465, P_n = 6
permutación 0213546, P_n = 6
permutación 0213564, P_n = 7
permutación 0213645, P_n = 7
permutación 0213654, P_n = 6
permutación 0214356, P_n = 5
permutación 0214365, P_n = 7
permutación 0214536, P_n = 5
permutación 0214563, P_n = 5
permutación 0214635, P_n = 7
permutación 0214653, P_n = 6
permutación 0215346, P_n = 5
permutación 0215364, P_n = 7
permutación 0215436, P_n = 5
permutación 0215463, P_n = 7
permutación 0215634, P_n = 5
permutación 0215643, P_n = 6
permutación 0216345, P_n = 5
permutación 0216354, P_n = 6
permutación 0216435, P_n = 7
permutación 0216453, P_n = 7
permutación 0216534, P_n = 6
permutación 0216543, P_n = 5
permutación 0231456, P_n = 3
permutación 0231465, P_n = 6
